Position,Track Name,Artist,Streams,URL,Date,code,name
1,Sài Gòn Đau Lòng Quá,Hứa Kim Tuyền,45839,https://open.spotify.com/track/6TD5xfffOnYHliuF1wzL6U,2021-04-16,vn,Viet Nam
2,Tháng Mấy Em Nhớ Anh?,Ha Anh Tuan,38143,https://open.spotify.com/track/6Fbsn9471Xd0vVsMWwhePh,2021-04-16,vn,Viet Nam
3,Phải Chăng Em Đã Yêu?,Juky San,34644,https://open.spotify.com/track/3wGx3gYPjECKZazGNuPEX2,2021-04-16,vn,Viet Nam
4,Leave The Door Open,Bruno Mars,34134,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,2021-04-16,vn,Viet Nam
5,Nàng Thơ,Hoang Dung,32732,https://open.spotify.com/track/6rVaOdWvFaNyVVXda0NPJy,2021-04-16,vn,Viet Nam
6,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,31882,https://open.spotify.com/track/17iGUekw5nFt5mIRJcUm3R,2021-04-16,vn,Viet Nam
7,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,30077,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,2021-04-16,vn,Viet Nam
8,Kiss Me More (feat. SZA),Doja Cat,26820,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,2021-04-16,vn,Viet Nam
9,On The Ground,ROSÉ,25266,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ,2021-04-16,vn,Viet Nam
10,Cứ Chill Thôi,Chillies,24130,https://open.spotify.com/track/014DA3BdnmD3kI5pBogH7c,2021-04-16,vn,Viet Nam
11,LayLaLay,Jack - J97,24117,https://open.spotify.com/track/1eZ8S2yOGRhAE32pg27M1S,2021-04-16,vn,Viet Nam
12,Xin Đừng Nhấc Máy,B Ray,23845,https://open.spotify.com/track/4Rbnxa7kFSpCHNPJ3uZhtR,2021-04-16,vn,Viet Nam
13,Giữa Đại Lộ Đông Tây,Uyên Linh,23261,https://open.spotify.com/track/1MQ97OxIEAMm5BUHbS6yHv,2021-04-16,vn,Viet Nam
14,Bước Qua Mùa Cô Đơn,Vũ.,22523,https://open.spotify.com/track/7wkX67ruxr3x2GFz6vyIX9,2021-04-16,vn,Viet Nam
15,Lỡ Say Bye Là Bye,Lemese,22229,https://open.spotify.com/track/2EMbVMhUtYNfuAhTi9HvBk,2021-04-16,vn,Viet Nam
16,Chuyện Rằng,Thịnh Suy,22129,https://open.spotify.com/track/3VOeGtJwJh2jslvQAFaaEn,2021-04-16,vn,Viet Nam
17,Sinh Ra Đã Là Thứ Đối Lập Nhau,Emcee L (Da LAB),21809,https://open.spotify.com/track/6IAqflHsPVm4EpYghXauX7,2021-04-16,vn,Viet Nam
18,Gone,ROSÉ,21736,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA,2021-04-16,vn,Viet Nam
19,At My Worst,Pink Sweat$,21433,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,2021-04-16,vn,Viet Nam
20,Gác Lại Âu Lo,Da LAB,20817,https://open.spotify.com/track/6HpDKKSDZ8QpSHfikENIBC,2021-04-16,vn,Viet Nam
21,Mascara,Chillies,20422,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl,2021-04-16,vn,Viet Nam
22,Chỉ Là Không Cùng Nhau (Live Version),Tăng Phúc,20025,https://open.spotify.com/track/6iWPQ9xAYH3ZePu2Z209Y6,2021-04-16,vn,Viet Nam
23,MONTERO (Call Me By Your Name),Lil Nas X,19930,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,2021-04-16,vn,Viet Nam
24,Film out,BTS,19731,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt,2021-04-16,vn,Viet Nam
25,Dù Cho Mai Về Sau,buitruonglinh,19375,https://open.spotify.com/track/5SUXc3Xe4GaWyDo45v6Lea,2021-04-16,vn,Viet Nam
26,Astronaut In The Ocean,Masked Wolf,19248,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,2021-04-16,vn,Viet Nam
27,từ thích thích thành thương thương,AMEE,19193,https://open.spotify.com/track/1fh5Sf3fFESFOS8D82RQiI,2021-04-16,vn,Viet Nam
28,Chúng Ta Sau Này,T.R.I,18416,https://open.spotify.com/track/4Wdwvi2C5MD8zDi9Kg3x4X,2021-04-16,vn,Viet Nam
29,Lối Nhỏ,Đen,18081,https://open.spotify.com/track/25edeHHueINMguqu9emCyV,2021-04-16,vn,Viet Nam
30,Tình Bạn Diệu Kỳ,Ricky Star,17260,https://open.spotify.com/track/2f8Ew6sB7KHlTiH9NTLvVM,2021-04-16,vn,Viet Nam
31,Buồn Thì Cứ Khóc Đi,Lynk Lee,17092,https://open.spotify.com/track/6iXGivPFpsqKmrINhIbPvx,2021-04-16,vn,Viet Nam
32,Trên Tình Bạn Dưới Tình Yêu,MIN,17039,https://open.spotify.com/track/5zH2inEP6THOY8tomr3DdZ,2021-04-16,vn,Viet Nam
33,3 1 0 7,W/N,16674,https://open.spotify.com/track/42pZsfo15M63tgCpDeGCx6,2021-04-16,vn,Viet Nam
34,Gặp Nhưng Không Ở Lại,Hiền Hồ,16665,https://open.spotify.com/track/3pyHABNUu0QxeyH1x8p7yf,2021-04-16,vn,Viet Nam
35,Yêu Thầm,Hoàng Yến Chibi,16523,https://open.spotify.com/track/7dJVE53hGAX9TcKH0abFic,2021-04-16,vn,Viet Nam
36,Đi Về Nhà,Đen,16345,https://open.spotify.com/track/7LVrrX8pkzI9fMF88nGabt,2021-04-16,vn,Viet Nam
37,Dynamite,BTS,16021,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,2021-04-16,vn,Viet Nam
38,Cho Mình Em,Binz,15709,https://open.spotify.com/track/51bYFYWODfYOZU0rwvjiCc,2021-04-16,vn,Viet Nam
39,từ chối nhẹ nhàng thôi,Bich Phuong,15675,https://open.spotify.com/track/6B1Io9VDzMAmwFjrplDJw8,2021-04-16,vn,Viet Nam
40,Thích Quá Rùi Nà,Tlinh,15376,https://open.spotify.com/track/6jcG3yZ0e2CSI6omkYO1ut,2021-04-16,vn,Viet Nam
41,Tình Đắng Như Ly Cà Phê,nân,15350,https://open.spotify.com/track/2WOpp4vm16unl0N3i3BNNv,2021-04-16,vn,Viet Nam
42,Ke Cap Gap Ba Gia (feat. BINZ),Hoang Thuy Linh,15336,https://open.spotify.com/track/3HJ0EW4kd9S1NRCm039Fsk,2021-04-16,vn,Viet Nam
43,Heartbreak Anniversary,Giveon,14694,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,2021-04-16,vn,Viet Nam
44,Thanh Xuan,Da LAB,14035,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5,2021-04-16,vn,Viet Nam
45,Một Mình Có Buồn Không,Thiều Bảo Trâm,13941,https://open.spotify.com/track/6qojhjr9LHJOvLDzK5yBHP,2021-04-16,vn,Viet Nam
46,Always Remember Us This Way,Lady Gaga,13697,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2021-04-16,vn,Viet Nam
47,Hold On,Justin Bieber,13670,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5,2021-04-16,vn,Viet Nam
48,To The Moon,hooligan.,13583,https://open.spotify.com/track/1CyYcBdukmFjFibDZaDlHc,2021-04-16,vn,Viet Nam
49,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,13428,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU,2021-04-16,vn,Viet Nam
50,Bài Này Chill Phết,Đen,13282,https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu,2021-04-16,vn,Viet Nam
51,Missing You,Phuong Ly,12564,https://open.spotify.com/track/1AAGvzJRWMTKx7PNfeTvP4,2021-04-16,vn,Viet Nam
52,CÓ CHẮC YÊU LÀ ĐÂY,Sơn Tùng M-TP,12123,https://open.spotify.com/track/2z9iLlNBt1aLZUCFgXby97,2021-04-16,vn,Viet Nam
53,Muốn Nói Với Em,T Team,11933,https://open.spotify.com/track/1HDrKXya87GMQfAGPlqNS9,2021-04-16,vn,Viet Nam
54,Lạ Lùng,Vũ.,11864,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9,2021-04-16,vn,Viet Nam
55,deja vu,Olivia Rodrigo,11336,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb,2021-04-16,vn,Viet Nam
56,3 1 0 7 - 2 (feat. W/N & Nau),W/N,11101,https://open.spotify.com/track/2PYDUM2IC01FOTDLQdFxJP,2021-04-16,vn,Viet Nam
57,Life Goes On,BTS,10983,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,2021-04-16,vn,Viet Nam
58,Qua Khung Cửa Sổ,Chillies,10678,https://open.spotify.com/track/6jOP08e9PHDnoF3reZcePE,2021-04-16,vn,Viet Nam
59,Save Your Tears,The Weeknd,10311,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,2021-04-16,vn,Viet Nam
60,Dù Cho Mai Về Sau (Acoustic Version),buitruonglinh,10268,https://open.spotify.com/track/64UWFwTIsfoHZolWAjKGgw,2021-04-16,vn,Viet Nam
61,Lời Đường Mật,Lyly,10167,https://open.spotify.com/track/4yAJOZ8ZBAKfXCI20hsVjf,2021-04-16,vn,Viet Nam
62,Giữa Đại Lộ Đông Tây (Live at XHTĐRLX),Uyên Linh,9978,https://open.spotify.com/track/0acdAdw5IXzurgC9DiugKy,2021-04-16,vn,Viet Nam
63,Bigcityboi (feat. Touliver),Binz,9959,https://open.spotify.com/track/3sV8ExJeOGXbanczafavZv,2021-04-16,vn,Viet Nam
64,Tháng 4 Là Lời Nói Dối Của Em,Ha Anh Tuan,9815,https://open.spotify.com/track/6v2XzgdJRZIdRbxD5euMal,2021-04-16,vn,Viet Nam
65,Có Em Đời Bỗng Vui,Chillies,9603,https://open.spotify.com/track/696w9BHmEY62myVCSDyrYW,2021-04-16,vn,Viet Nam
66,Bông Hoa Đẹp Nhất,Quân A.P,9175,https://open.spotify.com/track/7oX6qKTnKeVG6iT0qG1i29,2021-04-16,vn,Viet Nam
